"hash","added lines","deleted lines","file"
"bf8256c14f70f0940778ff36a41034585d3e5827",2,2,"Theory/linux-theory-1.md"
"340f313fdba86c09882f860f13df6cea3139078b",1,1,"Misc/linux-misc-4.md"
"b7f3007605b4df16906d039166e4433e892368a4",1,0,"README.md"
"b7f3007605b4df16906d039166e4433e892368a4",1,0,"contributors.md"
"459406247295bba37fa8ec53a60649cab47bb42b",1,1,"SysCall/linux-syscall-3.md"
"459406247295bba37fa8ec53a60649cab47bb42b",1,0,"contributors.md"
"c2092a481e99e22e0dab1c42a21ece7a65f1fe76",3,3,"Booting/linux-bootstrap-4.md"
"1b2ddf49e3fa5d5104e15b6bdff335a70a9e0997",130,186,"SyncPrim/linux-sync-2.md"
"7225b45c3b891b8451d02a39824e311917682138",1,1,"Booting/linux-bootstrap-1.md"
"66654361caf62b2c04e5a1afa179c3ea1e92b042",1,1,"Booting/README.md"
"9fc7c1fbf1c17aee86425b443a74897698f56b21",1,1,"Booting/linux-bootstrap-3.md"
"90c0c7a80ea9df3e42d0e021a3b8b6252ddfe3fd",59,150,"SyncPrim/linux-sync-1.md"
"b7e625efdd6a92b9621b9ef1538b70db0d521d0e",1,1,"SysCall/linux-syscall-5.md"
"7e67782494ad503b4a9ced889b02249957b2c8f9",1,0,"contributors.md"
"6c4eb99a31ac351454e1894df770923019642ccd",1,1,"Initialization/linux-initialization-1.md"
"61770a9e38780d313a5323797ca6e92a1c151dd9",1,1,"SysCall/linux-syscall-1.md"
"d487b507090fa1c537d81e7ddcaf68a7e1092cdd",2,2,"Initialization/linux-initialization-1.md"
"b05a76580f0110c26ca9c482e1444715c52c9c4f",2,2,"Timers/linux-timers-5.md"
"1bbdcee0cef2cfef4c9a9ec370bfe01454ed1e25",88,126,"Initialization/linux-initialization-2.md"
"f6bd196a9f4afd87286d39d773a2ba08fb1d64fc",1,0,"README.md"
"cef68c175785e63f209606ea83bbee0088d129b1",1,1,"Booting/linux-bootstrap-3.md"
"ae092b2376591d9bc39e2cfc7ccb60b3ac504abd",1,1,"SyncPrim/linux-sync-5.md"
"a64aea42b60760ee423af3741312cac1bbd68e8f",223,157,"Initialization/linux-initialization-1.md"
"e968f1e0bbbc55e1f9018cd77227514ac2a61755",1,1,"Dockerfile"
"f346c4d1ffafb09eec33d6d050fc954705947c10",1,1,"Dockerfile"
"30660fdb7355908300c9e915c883d646f8dd6cf6",3,0,"Dockerfile"
"0f4992c87ea4dab62c6ce0967dd38e68fd2aea24",18,18,"Initialization/linux-initialization-1.md"
"0f4992c87ea4dab62c6ce0967dd38e68fd2aea24",2,2,"Initialization/linux-initialization-3.md"
"de1a5388153876b3277bb6d686c82677f4ca6cf9",48,19,"Initialization/linux-initialization-2.md"
"7b0c7481fa55046aaf9ac9e8b8d8ffe0da6283c3",91,0,"Initialization/linux-initialization-2.md"
"8d8dc63250c467a9730377a5e064b139edc29c18",33,41,"Initialization/linux-initialization-2.md"
"e6780062303e83415aa8809f188e75b318a7a8c9",2,2,"Interrupts/linux-interrupts-9.md"
"e6780062303e83415aa8809f188e75b318a7a8c9",3,3,"Timers/linux-timers-6.md"
"e5252b800a1a50e56bf485f25930dcf1f09e0103",12,7,"Initialization/linux-initialization-2.md"
"76337791b410f11cca228be41a2e9e21612dc498",4,1,"Initialization/linux-initialization-2.md"
"424408f34f47c72545111bae3376314bc2c92eee",31,51,"Initialization/linux-initialization-2.md"
"5f0d9efc9b916e9c4842c9a4dc27af71a754c2c4",25,22,"Initialization/linux-initialization-1.md"
"5f0d9efc9b916e9c4842c9a4dc27af71a754c2c4",1,0,"contributors.md"
"2429f0622c6ddbe31aca0452a989ab048c31dc4c",1,1,"Initialization/linux-initialization-3.md"
"3af6133f0572e0dd8bd2cd8081e9bcecedacb500",15,13,"Booting/linux-bootstrap-2.md"
"163ba61dbe5802ba5e815fbeaca6a3ec28f642b3",7,7,"Misc/linux-misc-1.md"
"163ba61dbe5802ba5e815fbeaca6a3ec28f642b3",6,6,"SysCall/linux-syscall-4.md"
"163ba61dbe5802ba5e815fbeaca6a3ec28f642b3",1,1,"Timers/linux-timers-1.md"
"163ba61dbe5802ba5e815fbeaca6a3ec28f642b3",1,1,"Timers/linux-timers-4.md"
"f994df59859786fd2eb0e62ed61500a836e73ebe",3,3,"Booting/linux-bootstrap-6.md"
"872c41d1029f8ba9227061f88d659f94b93e6532",1,1,"MM/linux-mm-1.md"
"8928018e201d75ab05f0d2ff6bcf07a52a3552df",18,0,"README.md"
"c9a4497c776824b33b25034d07f6f0db66951dda",1,1,"Booting/linux-bootstrap-2.md"
"759b76cba7539f8a8b15033592209a24c949f87e",7,3,"Interrupts/linux-interrupts-9.md"
"01ce5185d8735c006f4625ba5be4f5547c05d37d",1,1,"Booting/README.md"
"01ce5185d8735c006f4625ba5be4f5547c05d37d",5,5,"Booting/linux-bootstrap-5.md"
"9d2aa869a12a8fabcb8430ef154b6c0288137612",2,2,"Initialization/linux-initialization-6.md"
"9d2aa869a12a8fabcb8430ef154b6c0288137612",2,2,"Initialization/linux-initialization-7.md"
"b4f824db27afae3626d0beb096ac8e3172831145",18,18,"Booting/linux-bootstrap-2.md"
"a91502c80a9996ecd9655f941476c745c0951ea5",1,1,"Interrupts/linux-interrupts-9.md"
"5880a60e6e3054d29dc862cd5fd885b3dbe27eee",3,3,"Concepts/linux-cpu-3.md"
"41c4b9679059311978a7612787d4c2f1f031659f",1,1,"LINKS.md"
"3d68ef4efee8cc858cb0f03f94a07fcfe23bdb32",15,15,"Booting/linux-bootstrap-1.md"
